Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
,,,,,,,,,,,0,,,,0.3446,,,0.1585,-0.0755,,,,,,,0.1946,,,,,,,,,
,,,,,,,,,,,,,,,,,0.115,,,,,,,,,,,,,,0.0317,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.2344,,,,-0.02,,,,-0.2886,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.0708,,,,,,,,-0.0854,,,,,,,,,,,,,,,0.1355,0.1728,,,,-0.0438,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.1377,,,,-0.1757,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,0,-0.0217,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.1518,-0.0388,-0.0968,,0,-0.0909,-0.164,,,-0.1611,,,,,,,,,0.1158,,0.1382,-0.2052,,,0.3351,0.2745,0.0615,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-0.0341,0.0707,-0.3443,,,,,-0.4308,,,,,,0.8861,,,,,,,,,,,,
-0.483,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,0.2143,0.2353,,0.2174,0.5429,-0.1412,
,,,,,0.0256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,0,0,,-0.352,-0.2198,-0.2099,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.1547,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,0,,0.2033,-0.0676,,,,-0.1083,,,,,,0.4931,-0.314,,-0.0066,,,0.0855,,0.0525,0.0704,0.1507,0.3095,0.2091,0.1504,-0.2941,0.0704,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4164,,,,,,,,-0.1586,-0.1284,0.0878,0.0029,-0.342,-0.0393,-0.0682,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.1231,,,,,0.0444,,,,,,,,,,,0.0094,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.3407,0.5056,-0.4179,-0.1538,0.1364,0,0.1467,0.6744,0.1458,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-0.0926,0.1531,0.2743,-0.0972,-0.1769,-0.0561,-0.1436,
,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1.3486,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,0,0,-0.1011,-0.1,-0.4361,0.3842,0,0.2811,-0.0417,-0.0464,0.0851,0.0644,0.2395,-0.087,0.0698,0.2826,-0.1102,0.2381,0.1692,-0.3224,-0.0097,-0.0216,0.0721,0.1495,0.0976,0.2815,-0.1249,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0778,,,-0.0053,-0.0741,,,0,0.1333,,,-0.0184,-0.0164,,,0.46,0.0274,0.0467,,-0.0303,,,,,,,,,,,
