Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
,,,,TVC,TVC,TVC,TVC,TVC,TVC,TVC,TVC,TVC,TVC,TVC,TVC,TVC,TVC,TVC,TVC,TVC,TVC,TVC,TVC,TVC,TVC,TVC,TVC,,TVC,TVC,,,TVC,,TVC
,,,,TVD,TVD,TVD,TVD,TVD,TVD,TVD,TVD,,TVD,,,TVD,,,TVD,TVD,TVD,,TVD,TVD,TVD,TVD,TVD,TVD,TVD,TVD,TVD,,,TVD,TVD
,,,,TXM,TXM,TXM,TXM,TXM,TXM,TXM,TXM,TXM,TXM,TXM,TXM,TXM,,,TXM,TXM,,TXM,TXM,,TXM,,,,,TXM,,TXM,TXM,,
,,,,UNI,UNI,UNI,UNI,UNI,UNI,UNI,UNI,UNI,UNI,UNI,UNI,UNI,,,,,,,,,,,,,,,,,,,
,,,,V12,V12,V12,V12,,,,,,,,,,,V12,,,,,,,,,,,,,,,,,
,,,,V21,V21,V21,V21,,V21,V21,V21,,,,,,,,,,,V21,,,,,,,,,,,,,
,,,,VAT,VAT,VAT,VAT,VAT,VAT,VAT,,,,,,,VAT,VAT,,VAT,VAT,,VAT,,,,,,,,,,,,
,,,,VBC,VBC,VBC,VBC,VBC,VBC,VBC,VBC,VBC,VBC,VBC,VBC,VBC,VBC,VBC,VBC,VBC,VBC,VBC,VBC,VBC,VBC,VBC,VBC,,,,,,,,
,,,,VBH,VBH,VBH,VBH,,,,VBH,,VBH,VBH,,,,,,,,,,,,,,,,,,,,,
,,,,VC1,VC1,VC1,VC1,,VC1,,VC1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,VC2,VC2,VC2,VC2,,,,VC2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,VC3,VC3,VC3,VC3,,,,,,,,,,,VC3,,,,,,,,,,,,,,,,,
,,,,VC6,VC6,VC6,VC6,VC6,,,VC6,,,,,,,,,,,,,,,,,,,,,,,,
,,,,VC7,VC7,VC7,VC7,,,,VC7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,VC9,VC9,VC9,VC9,,,,VC9,,,,,,,,,,,,VC9,,,,,,,,,,,,
,,,,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,VCC,,VCC,,,,VCC
,,,,VCG,VCG,VCG,VCG,VCG,VCG,VCG,VCG,,VCG,VCG,VCG,,,,VCG,,,VCG,,VCG,VCG,VCG,VCG,,VCG,,VCG,,VCG,,VCG
,,,,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM,CLM
,,,,VCM,VCM,VCM,VCM,,,,VCM,,,,,,,,,,,VCM,VCM,,,,,,,,,,,,
,,,,VCR,VCR,VCR,VCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,VCS,VCS,VCS,VCS,VCS,VCS,VCS,VCS,VCS,VCS,VCS,VCS,VCS,VCS,VCS,VCS,VCS,VCS,VCS,VCS,VCS,VCS,VCS,VCS,,,,,VCS,,VCS,
,,,,VDL,VDL,VDL,VDL,VDL,VDL,,,,VDL,,VDL,,,,,VDL,VDL,VDL,,,,,,,,,,,,,
,,,,VDS,VDS,VDS,VDS,,,,,,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,VDS,,,,,,,VDS,VDS,VDS,VDS,,VDS
,,,,VE1,VE1,VE1,VE1,VE1,,,VE1,VE1,VE1,VE1,,,,,,,,,,,,,,,,,,,,,
,,,,VE2,VE2,VE2,VE2,VE2,VE2,,VE2,VE2,VE2,,,,,,,,,,,,,,,,,,,,,,
,,,,VE3,VE3,VE3,VE3,VE3,VE3,,VE3,,,,,,,,,,,,,,,VE3,,,,,,,,,
,,,,VE4,VE4,VE4,VE4,VE4,VE4,VE4,VE4,VE4,VE4,VE4,VE4,VE4,VE4,VE4,,,,VE4,VE4,,,,,,,,,,,,
,,,,VE8,VE8,VE8,VE8,VE8,VE8,VE8,VE8,VE8,VE8,VE8,VE8,VE8,VE8,VE8,,,,,,,,,VE8,,,,,,,,
,,,,VE9,VE9,VE9,VE9,VE9,VE9,VE9,VE9,VE9,VE9,VE9,VE9,VE9,VE9,VE9,VE9,VE9,VE9,VE9,VE9,VE9,VE9,VE9,VE9,VE9,,,VE9,,,,
,,,,VFR,VFR,VFR,VFR,VFR,VFR,VFR,VFR,VFR,VFR,VFR,VFR,VFR,VFR,VFR,VFR,VFR,VFR,VFR,VFR,VFR,,,,,,,,,,,VFR
,,,,VGC,VGC,VGC,VGC,VGC,VGC,VGC,VGC,VGC,VGC,VGC,VGC,VGC,VGC,VGC,VGC,VGC,VGC,VGC,VGC,VGC,VGC,VGC,VGC,,VGC,VGC,VGC,,VGC,,VGC
,,,,VGP,VGP,VGP,VGP,VGP,VGP,VGP,VGP,VGP,VGP,VGP,VGP,VGP,VGP,VGP,VGP,VGP,VGP,VGP,VGP,VGP,VGP,VGP,VGP,VGP,VGP,VGP,VGP,,,,
,,,,VGS,VGS,VGS,VGS,VGS,,,VGS,,,VGS,VGS,VGS,,,,,,,,,,,,,,,,,,,
,,,,VHL,VHL,VHL,VHL,,,,,,,,,,VHL,VHL,VHL,,,,,,,,,,,,,,,,
,,,,MBG,MBG,MBG,MBG,MBG,MBG,MBG,MBG,MBG,MBG,MBG,MBG,MBG,MBG,MBG,MBG,MBG,MBG,MBG,MBG,MBG,MBG,MBG,MBG,MBG,,,,,,,
,,,,VIE,VIE,VIE,VIE,VIE,VIE,VIE,VIE,,,,,,VIE,VIE,VIE,,,,,,,,,,,,,,,,
,,,,VIG,VIG,VIG,VIG,,,,VIG,,VIG,VIG,VIG,VIG,,VIG,,,VIG,,,,,VIG,,,,,,,,,VIG
,,,,VIT,VIT,VIT,VIT,,,,VIT,,,,,,,,,,,,,,,,,,,,,,,,
,,,,VIX,VIX,VIX,,,,,VIX,VIX,VIX,,,,,,,,,,,,,,,,VIX,,,,,,
,,,,VKC,VKC,VKC,VKC,VKC,,,VKC,,VKC,VKC,,,,,,,,,,,,,,,,,,,,,
