No,Ticker,R4_2016,R3_2016,R2_2016,R1_2016,R4_2015,R3_2015,R2_2015,R1_2015,R4_2014,R3_2014,R2_2014,R1_2014,R4_2013,R3_2013,R2_2013,R1_2013,R4_2012,R3_2012,R2_2012,R1_2012,R4_2011,R3_2011,R2_2011,R1_2011,R4_2010,R3_2010,R2_2010,R1_2010,R4_2009,R3_2009,R2_2009,R1_2009,R4_2008,R3_2008,R2_2008,R1_2008,
68,DHA,,-0.1272,0.3796,0.0515,0.2328,0.0739,0.0115,0.1837,0.0576,0.2523,0.2333,-0.1089,0.1609,0.1447,-0.0952,-0.1683,0.1222,-0.0625,-0.1429,0.037,0.1868,-0.2778,0,-0.2759,-0.1343,-0.2148,-0.4599,0.1449,-0.0526,0.2415,0.4309,0.4819,-0.17,-0.2933,0.401,-0.528,
69,DHC,,0.0838,0.0087,0.151,0.0456,0.2128,0.1463,-0.0191,-0.0873,0.2652,0.3507,-0.0147,0.5814,0.1467,-0.026,0.3509,-0.0806,0.0164,-0.3068,0.0476,0.3125,-0.2099,-0.0471,-0.2273,-0.1339,-0.0797,-0.3491,0.3677,-0.2548,0.2164,0,0,0,0,0,0,
70,DHG,,0.0176,0.2697,-0.1508,0.3561,-0.0638,-0.0342,-0.1978,-0.0319,0,-0.0784,-0.2093,0.1727,0.068,0.2485,0.1301,0.1231,-0.1216,0.1935,0,0.069,-0.0169,-0.4779,-0.0088,0.0364,-0.0598,-0.0085,-0.056,0.0246,-0.1644,0.2269,0.1553,-0.1197,-0.1069,-0.1438,-0.0783,
71,DHM,,-0.2637,0.1145,0.6173,1.1892,0.3214,-0.2222,-0.2174,-0.2203,-0.2237,0.2063,-0.3762,0.2469,0.0946,-0.4127,-0.087,-0.4226,0.3736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,DIC,,-0.0516,-0.1268,0.2034,-0.169,-0.0405,-0.0976,-0.0682,0.0115,0,0.0875,-0.0698,0.2113,0.2909,-0.2143,0.0145,0.1129,-0.1389,-0.3571,0.4,0.0526,-0.1828,0.0449,-0.4367,-0.2255,-0.0852,-0.0861,0.202,-0.1174,0.0798,0.2909,0.3983,-0.2532,-0.2476,0.0396,-0.5356,
73,DIG,,0.0208,-0.1895,0.2179,-0.2277,-0.0381,-0.087,-0.1288,-0.102,0.097,-0.0759,-0.1369,0.377,0.525,-0.403,0.0152,0.0732,-0.1214,-0.1566,0.0122,0.3667,-0.3717,0.1105,-0.4169,-0.1399,-0.2527,-0.3098,-0.0292,-0.3218,0.0632,0,0,0,0,0,0,
74,DLG,,-0.1463,-0.2286,0.1667,-0.3407,0.3382,-0.2273,-0.1619,-0.1322,0.1204,0.3846,0.3448,0.234,0.2368,-0.1739,-0.193,0.6765,-0.2917,-0.622,-0.3586,0.0259,-0.1891,-0.1849,0.0896,-0.1067,0.6129,0,0,0,0,0,0,0,0,0,0,
75,DMC,,-0.2085,0.4651,0.1121,0.4536,0.0231,-0.0602,-0.0304,0.0166,-0.0644,0.125,-0.1011,0.0114,0.1282,0.2745,0.0968,-0.0211,0.131,-0.1158,-0.2339,0.6909,-0.1603,0.4086,-0.2314,-0.2366,-0.1339,-0.1073,-0.1546,-0.1182,-0.12,0.1364,0.455,-0.2588,-0.3704,-0.2212,-0.2518,
76,DPM,,-0.1276,0.0545,-0.0351,-0.0981,0.0293,0.0514,-0.0789,0.0856,-0.1257,0.0277,-0.281,0.0892,0.0349,-0.1264,0.08,0.2248,-0.1325,0.1869,0.0871,0.0727,-0.1162,0.0283,-0.1215,0.0284,0.1034,0.0925,-0.0903,-0.1553,-0.24,0.1848,0.4859,-0.2366,-0.4277,0.5854,-0.2679,
77,DPR,,0.0203,-0.0824,0.0273,0.1731,0.023,-0.0615,-0.1287,-0.0675,0.0336,-0.0325,-0.1786,0.0083,0.0903,-0.1481,0,0,0.0505,-0.008,-0.0216,0.2028,-0.2148,-0.0182,-0.1667,0.056,0.0504,-0.0325,0.025,0,-0.0476,0.4157,0.8542,-0.2105,-0.5626,0.5308,-0.2557,
78,DQC,,-0.1429,0.1103,0.25,0.0545,0.0092,0,-0.128,-0.1438,0.5433,0.3066,-0.0694,0.2271,0.3045,-0.0581,0.2709,0.2083,0.006,-0.2707,0.7348,-0.0504,-0.1919,0.1467,-0.4,0.2755,-0.3,-0.4167,0.2152,0.2783,0.6263,0.0497,0.9255,-0.4535,-0.5795,-0.3456,-0.6366,
