No,Ticker,R4_2016,R3_2016,R2_2016,R1_2016,R4_2015,R3_2015,R2_2015,R1_2015,R4_2014,R3_2014,R2_2014,R1_2014,R4_2013,R3_2013,R2_2013,R1_2013,R4_2012,R3_2012,R2_2012,R1_2012,R4_2011,R3_2011,R2_2011,R1_2011,R4_2010,R3_2010,R2_2010,R1_2010,R4_2009,R3_2009,R2_2009,R1_2009,R4_2008,R3_2008,R2_2008,R1_2008
57,CTD,-0.0034,-0.0563,0.1058,0.1038,0.0398,0.1624,0.048,0.1083,-0.0036,-0.0141,0.0035,-0.0272,0.1891,0.0599,0.029,0.0616,0.0176,-0.0804,-0.0505,0.1309,0.0326,-0.1266,-0.1721,-0.1042,0.0064,-0.049,-0.2711,0.1087,,,,,,,,
58,CTG,0.0417,-0.0238,0.0303,-0.0154,-0.0825,-0.0341,0.0969,0,0.088,0,-0.0313,-0.0292,-0.0127,-0.0428,0.0185,-0.0969,0.1287,-0.0851,-0.0263,-0.0173,-0.0221,-0.0427,-0.0283,0.0692,0.1023,-0.1146,-0.0538,0.0046,-0.0944,-0.0572,,,,,,
59,CTI,-0.0389,-0.0062,0.0731,0.1225,-0.0324,0.0805,0.1681,0.0244,-0.0283,-0.0686,0.0312,0.096,0.1294,0.0313,0.0337,0.0071,-0.1389,-0.1288,-0.123,-0.0142,-0.1619,0.1167,-0.2328,-0.18,0.1043,-0.128,0.1821,,,,,,,,,
60,CYC,-0.0779,0.0921,0.0272,-0.0138,-0.0631,-0.0116,0.0235,-0.0119,-0.0946,0.0193,-0.1954,0.1065,0.1091,0.1319,0.0764,-0.0164,0.0889,-0.0378,0.058,-0.1249,0.1249,-0.2688,-0.0217,-0.1866,-0.0267,-0.1471,0.0046,0.0494,-0.1528,0.0719,0.0605,-0.0382,-0.1836,0.1083,-0.0403,-0.1319
61,D2D,-0.1015,0.0041,0.1078,0.0066,-0.0259,0.0327,-0.0081,0.0054,-0.0146,0.1193,0.0052,0.0269,0.0923,0.0332,-0.0025,0.0201,-0.0026,-0.032,-0.0047,0.0419,-0.058,0.0453,-0.1668,-0.1806,-0.0829,-0.072,-0.0985,0.1612,-0.1549,,,,,,,
62,DAG,-0.0727,0.0101,0.1201,0.0278,-0.0502,-0.0108,-0.1123,0.0881,0.0068,-0.0265,-0.0189,0,0.0737,-0.0179,-0.0401,-0.0839,0.1963,-0.086,0.1578,0.217,-0.06,-0.3347,-0.0252,-0.0782,0.0209,-0.0692,-0.0557,,,,,,,,,
63,DAH,0.0628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,ADS,0.0759,0.1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,DCL,0.099,-0.1892,0.1322,-0.0387,0.0172,-0.0385,-0.2298,-0.0176,0.0859,0.129,0.0136,-0.0151,0.0903,0.0799,0.1206,0.1387,0.1289,-0.1634,-0.0421,-0.0792,0,-0.0164,-0.1127,-0.1775,-0.0903,,,0.092,-0.0985,0.02,0.0952,0.1891,-0.0078,,,
66,DCM,-0.056,-0.0305,-0.0319,0,-0.0068,0,-0.0165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,DGW,-0.1508,0.0666,-0.1442,-0.0686,-0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,DHA,-0.0162,0.0044,0.0944,0.0541,0.069,0.0049,0.0024,0.0748,0.0526,0.1077,0.0444,0.0142,0.0621,0.0348,-0.0822,-0.0517,0.037,-0.0711,-0.0985,0.1371,-0.0924,-0.0177,-0.0492,-0.1719,-0.0164,-0.1065,-0.2793,0.0918,-0.0662,0.2307,0.1694,0.0392,-0.0751,-0.1167,0.0078,-0.2849
69,DHC,-0.0262,0.0089,0.0161,0.0952,0.0576,0.0017,0.0805,0.0227,-0.0063,0.1059,0.0449,0.1259,0.1223,0.0326,0.0669,0.0792,0.0591,-0.1448,-0.1377,0.05,0.1145,-0.1301,-0.0792,-0.0918,0.0105,-0.1354,-0.1458,0.1669,-0.1833,0.186,,,,,,
70,DHG,0.048,0.0273,0.0393,0.1073,-0.0317,-0.018,-0.055,-0.0442,-0.0046,-0.0023,-0.1738,0.0488,0.0629,0,0.1398,0.0255,0.0302,0.0496,-0.0035,0.0141,-0.0378,0.0414,-0.3046,0.0146,0.0075,-0.0185,-0.0107,-0.0035,-0.1293,0.162,0.0437,-0.0322,0.0158,-0.0838,-0.1356,-0.061
71,DHM,-0.4918,0.047,0.1126,0.1461,0.243,0.0969,-0.0631,-0.122,-0.1227,-0.0259,-0.0362,-0.0334,0.022,-0.058,-0.0684,-0.2176,-0.0025,-0.1249,,,,,,,,,,,,,,,,,,
72,DIC,-0.0985,-0.0248,0.0185,0.0395,-0.0699,-0.0229,0,-0.0573,-0.0049,0.0197,0.0102,0.073,0.0954,0.0483,-0.0918,-0.0332,0.0921,-0.1787,-0.1847,0.2465,-0.0969,0.0049,-0.1151,-0.212,-0.0395,-0.2281,0.0969,0.1527,-0.0691,0.253,0.0242,-0.1123,-0.0419,-0.0313,-0.2987,-0.137
73,DIG,0.0091,-0.0604,0.005,0.026,-0.1707,0,-0.0072,-0.0242,-0.0478,-0.0263,-0.038,0.1088,0.0384,0.1165,-0.094,-0.1172,0.0804,-0.1302,-0.134,0.2786,-0.1498,0.0078,-0.1347,-0.2276,-0.0319,-0.1479,-0.0946,0.0218,-0.2574,,,,,,,
74,DLG,-0.2621,-0.1388,0.0061,0.0804,-0.143,0.0626,-0.1078,-0.1017,0.0038,0.0701,0.0374,0.2251,0.1445,0,-0.0113,-0.1249,0.1478,-0.2242,-0.5257,-0.0548,0.0345,-0.0252,-0.1305,-0.011,0.1107,-0.0172,,,,,,,,,,
75,DMC,-0.0344,0.0202,0.0092,0.226,0.0063,0.0011,-0.0074,-0.0134,0.0113,0.0042,-0.0114,-0.02,-0.0135,0.082,0.1085,0.0241,0.0256,0.0151,-0.0986,0.1415,-0.0166,0.028,0.0098,-0.1259,-0.0502,-0.052,-0.0932,-0.0565,-0.0616,-0.0539,0.1942,-0.0352,-0.0393,-0.2185,-0.1374,-0.1184
76,DPM,-0.0611,-0.0213,-0.0044,0.0119,-0.0619,0.0215,0.0183,-0.01,0.0114,-0.0043,-0.0562,-0.117,0.0349,0.0246,-0.0287,-0.0356,0.1058,-0.0072,0.006,0.1249,-0.0751,-0.0094,-0.0356,-0.078,0.0878,0.0516,-0.0286,0.0244,-0.1532,-0.0275,0.1126,0.0283,-0.1381,-0.0876,0.0313,-0.1009
77,DPR,0.0035,0.03,-0.0481,0.087,0.0027,-0.0041,-0.0211,-0.0567,-0.0231,0.0186,-0.0365,-0.0495,-0.0064,0.0913,-0.1621,0.0278,-0.0081,0.0334,-0.0531,0.0402,0.0172,-0.0418,-0.0308,-0.0717,0.068,-0.0353,-0.0166,0.0447,0,0.1173,0.1584,0.0153,-0.0405,-0.2751,0.0546,-0.1467
78,DQC,-0.0941,-0.0344,0.0738,0.1303,-0.1139,0.0928,-0.0395,0.0395,-0.0507,0.2038,0.0095,-0.0095,0.1373,0.0532,-0.0384,0.1227,0.0854,-0.0854,-0.0898,0.2647,-0.0922,0.0334,-0.0694,-0.1576,0.014,-0.1974,-0.1952,0.2632,0.0066,0.2892,0.0409,0.0205,-0.0987,-0.4257,-0.1979,
